,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES
150,victoria park,-37.799158,144.994451,2
151,collingwood,-37.804525999999996,144.99375,2
152,north richmond,-37.810398,144.9925,2
153,west richmond,-37.814949,144.991423,2
154,jolimont-mcg,-37.816527,144.984098,2
155,macleod,-37.726012,145.069143,1
156,watsonia,-37.710958,145.08379300000001,1
157,greensborough,-37.703953999999996,145.108247,1
158,montmorency,-37.715295999999995,145.12151599999999,1
159,eltham,-37.71355,145.147822,1
160,diamond creek,-37.673297,145.158506,1
161,wattle glen,-37.663968,145.181615,1
162,hurstbridge,-37.639398,145.192017,1
163,williamstown,-37.867753,144.905323,1
164,williamstown beach,-37.863982,144.894484,1
165,north williamstown,-37.857333,144.889069,1
166,newport,-37.842718,144.8836,2
167,spotswood,-37.830639,144.885933,2
168,yarraville,-37.81585,144.88993399999998,2
169,seddon,-37.809005,144.895672,2
170,watergardens,-37.701129,144.77418,1
171,keilor plains,-37.729279,144.793738,1
172,st albans,-37.744861,144.80005,1
173,ginifer,-37.757511,144.809573,1
174,albion,-37.777653,144.824704,1
175,epping,-37.652387,145.030122,1
176,lalor,-37.665850999999996,145.017193,1
177,thomastown,-37.680338,145.014279,1
178,keon park,-37.69487,145.011884,1
179,ruthven,-37.707898,145.009517,1
180,reservoir,-37.716885,145.00699600000002,1
181,regent,-37.728403,145.002773,1
182,preston,-37.738673999999996,145.000522,1
183,bell,-37.745562,145.000155,1
184,thornbury,-37.755052,144.998572,1
185,croxton,-37.764101,144.997056,1
186,northcote,-37.769864999999996,144.995277,1
187,merri,-37.777847,144.992972,1
188,rushall,-37.783217,144.99240700000001,1
189,sunshine,-37.788536,144.832878,1
190,tottenham,-37.799251,144.862945,1
191,west footscray,-37.801809,144.885325,1
192,middle footscray,-37.802505,144.891472,1
193,footscray,-37.801083,144.903199,3
194,south kensington,-37.799531,144.925469,2
195,flemington racecourse,-37.787202,144.907589,3
196,broadmeadows,-37.683049,144.919613,1
197,jacana,-37.695130999999996,144.915851,1
198,glenroy,-37.704536,144.91722,1
199,oak park,-37.717949999999995,144.921519,1
200,pascoe vale,-37.730756,144.928196,1
201,strathmore,-37.743590999999995,144.927316,1
202,glenbervie,-37.747209999999995,144.920939,1
203,essendon,-37.756012,144.916198,1
204,moonee ponds,-37.765707,144.919161,1
205,ascot vale,-37.775306,144.921821,1
206,newmarket,-37.787327999999995,144.928978,2
207,kensington,-37.79378,144.930524,2
208,box hill,-37.819221999999996,145.121429,2
209,southern cross,-37.817935999999996,144.951411,16
210,roxburgh park,-37.638231,144.935404,1
211,craigieburn,-37.601817,144.94332,1
212,coolaroo,-37.661003,144.926056,1
213,lynbrook,-38.057341,145.249275,1
214,cardinia road,-38.07129,145.437791,1
215,south morang,-37.649159,145.06703199999998,1
216,williams landing,-37.869865,144.747445,1
217,southland,-37.958756,145.049121,1
218,middle gorge,-37.644061,145.092144,1
219,hawkstowe,-37.622994999999996,145.097396,1
220,mernda,-37.602548,145.100885,1
