STATION_NAME,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK
pascoe vale,0.52,174.63,1113.89,323.34,169.79,48.35,1830,820,540,10510,0,0.32,0.03,0,0.01,0,0.64,0.21,0.01,0.03,0.07,0.01,0.02,0.65
patterson,0.21,55.79,340.01,156.48,183.85,23.87,760,360,230,4390,0,0.18,0.04,0,0,0,0.79,0.14,0,0.1,0.16,0,0.05,0.55
prahran,1.29,102.61,1147.4,944.06,1905.01,430.93,4530,2200,1380,26230,0.01,0.01,0,0,0.01,0.03,0.94,0.14,0,0.06,0.33,0,0.02,0.46
preston,0.86,172.72,897.41,871.32,715.8,182.75,2840,2010,1140,17350,0.06,0.23,0,0,0.02,0.01,0.67,0.23,0,0.11,0.06,0,0.04,0.55
regent,0.45,171.48,864.9,286.66,180.75,46.21,1550,780,520,9050,0.09,0.25,0,0,0,0,0.66,0.14,0,0.07,0.08,0,0.02,0.69
reservoir,1.18,446.46,1848.07,913.38,649.14,152.95,4010,2150,1470,23670,0.18,0.37,0.01,0,0.01,0,0.44,0.25,0.04,0.05,0.09,0,0.04,0.54
richmond,3.34,164.05,1660.21,1588.34,3700.5,2256.9,9370,9900,6720,63470,0.02,0.02,0.02,0,0.61,0.12,0.22,0.15,0.03,0.14,0.06,0,0.07,0.55
ringwood,1.63,483.19,2127.74,1426.6,1421.9,270.57,5730,3090,2110,33850,0.26,0.42,0,0.03,0.03,0,0.26,0.31,0.08,0.1,0.05,0,0.04,0.42
ringwood east,0.4,167.8,924.41,257.81,182.88,27.1,1560,450,280,8530,0.01,0.51,0,0,0.01,0,0.46,0.25,0.05,0.02,0.07,0.01,0.04,0.55
ripponlea,0.73,119.78,1333.93,506.16,411.94,118.2,2490,1360,890,14700,0.01,0.14,0,0,0,0,0.85,0.22,0.03,0.02,0.15,0,0.01,0.56
riversdale,0.23,43.31,515.93,137.02,250.35,13.38,960,160,100,5060,0,0.31,0,0,0.08,0.19,0.42,0.23,0.01,0.01,0.03,0.03,0.14,0.56
rosanna,0.53,204.44,1120.69,330,198.16,36.72,1890,830,540,10820,0.1,0.51,0,0.02,0,0,0.36,0.25,0,0.05,0.05,0,0.02,0.63
roxburgh park,0.45,181.37,903.79,305.87,194.89,44.09,1630,610,410,9170,0.25,0.57,0.01,0,0.03,0,0.14,0.32,0,0.07,0.06,0,0.04,0.51
royal park,0.31,23.06,165.57,267.97,380.64,42.77,880,750,620,5770,0.04,0.02,0,0,0,0.17,0.77,0.19,0.01,0.08,0.18,0,0.01,0.53
rushall,0.15,18.61,191.65,122.82,138.04,28.88,500,300,210,3010,0.03,0.02,0.07,0,0.03,0,0.86,0.29,0,0.02,0.08,0,0.19,0.42
ruthven,0.21,81.09,347.87,160.77,68.43,21.83,680,420,300,4120,0,0.37,0.02,0,0,0,0.61,0.18,0,0.01,0.11,0,0.05,0.64
sandown park,0.53,193.47,1140.09,359.47,164,42.96,1900,700,540,10740,0,0.73,0,0,0,0,0.27,0.29,0.01,0.07,0.06,0,0.02,0.56
sandringham,0.68,171.36,1203.5,460.17,343.84,101.13,2280,1380,910,13690,0.1,0.46,0.05,0,0.01,0,0.39,0.21,0,0.03,0.08,0.02,0.05,0.61
seaford,0.45,327.94,754.7,258.55,162.67,36.13,1540,780,530,9010,0.03,0.55,0.03,0,0.02,0,0.37,0.09,0,0.04,0.17,0,0.04,0.66
seaholme,0.1,37.56,201.4,63.43,33.03,14.59,350,190,130,2070,0.02,0.26,0.04,0,0,0,0.68,0.27,0.01,0.05,0.1,0,0.06,0.52
seddon,0.46,114.72,910.12,330.48,186.67,58.01,1600,760,500,9260,0.01,0.12,0.01,0,0,0,0.86,0.14,0.02,0.07,0.07,0,0.02,0.69
south morang,0.93,681.52,1561.65,532.58,383.06,91.19,3250,1620,1050,18920,0.17,0.62,0,0,0,0,0.2,0.24,0,0.04,0.1,0,0.05,0.57
south kensington,0.34,50.02,559.23,264.6,217.28,48.87,1140,610,410,6720,0,0.16,0.02,0,0,0,0.81,0.15,0,0.08,0.01,0,0.04,0.72
south yarra,3.94,295.33,3671.43,2725.58,5344.12,1393.54,13430,7800,5260,80210,0,0.04,0.02,0,0.4,0.09,0.45,0.19,0.01,0.09,0.11,0,0.07,0.54
southern cross,17.09,453.76,3200.1,8707.53,40403.33,7255.28,60020,24460,19640,344200,0.04,0.01,0,0.01,0.17,0.06,0.71,0.1,0.02,0.03,0.07,0.01,0.07,0.71
spotswood,0.28,68.38,410.08,227.25,188.66,35.63,930,520,350,5520,0,0.32,0.02,0.01,0,0,0.65,0.13,0.01,0.03,0.15,0,0.04,0.64
springvale,1.39,273.42,1595.87,1429.25,1138.28,253.17,4690,2890,2190,28530,0.43,0.27,0,0,0.07,0,0.22,0.3,0.01,0.02,0.07,0,0.13,0.46
st albans,1,307.09,1290.48,1173.73,691.01,127.69,3590,1690,1200,20840,0.11,0.29,0,0.01,0,0,0.59,0.46,0.01,0.04,0.04,0,0.04,0.41
strathmore,0.36,102.07,763.14,228.04,203.65,43.1,1340,500,310,7510,0,0.52,0,0,0,0,0.47,0.17,0,0.03,0.02,0,0.03,0.75
sunbury,0.62,536.29,1040.17,398.62,271.08,53.84,2300,980,650,13130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunshine,1.6,396.56,2391.81,1784.24,1271.77,225.61,6070,2650,1910,34910,0.18,0.37,0.02,0,0.05,0,0.39,0.25,0.01,0.04,0.05,0,0.01,0.63
surrey hills,0.82,247.14,1833.58,410.38,394.55,74.35,2960,1110,750,16660,0.02,0.48,0,0,0.02,0,0.48,0.15,0,0.03,0.06,0,0.02,0.73
syndal,0.69,272.24,1372.67,387.02,333,65.06,2430,1050,740,13940,0.1,0.35,0,0,0.03,0,0.52,0.23,0,0.04,0.09,0,0.03,0.6
tecoma,0.07,26.41,128.34,45.5,23.35,6.4,230,110,80,1340,0.01,0.46,0,0,0.04,0,0.49,0.12,0.04,0.14,0.11,0,0.05,0.55
thomastown,0.79,346.91,1293.49,641.23,359.16,89.21,2730,1470,980,16100,0.14,0.5,0,0,0,0,0.36,0.22,0,0.09,0.1,0,0.1,0.48
thornbury,0.47,116.66,809.48,341.72,242.31,69.82,1580,940,600,9440,0.02,0.1,0.05,0.03,0,0.16,0.64,0.13,0,0.05,0.1,0,0.08,0.63
toorak,0.45,61.08,695.11,323.73,424.28,85.8,1590,820,510,9280,0.01,0.11,0,0,0.01,0.13,0.74,0.11,0,0,0.05,0,0.04,0.8
tooronga,0.65,92.78,990.65,402.65,744.96,108.96,2340,980,600,13280,0,0.19,0,0,0.01,0,0.79,0.1,0.16,0.05,0.1,0,0.2,0.38
tottenham,0.41,118.89,694.74,371.05,278.18,67.14,1530,690,520,8860,0,0.34,0.02,0,0.04,0,0.6,0.25,0.03,0.03,0.07,0.01,0.06,0.56
upfield,0.26,68.11,284.58,230.53,264.86,41.91,890,460,330,5240,0.13,0.28,0.09,0.05,0,0,0.46,0.44,0,0.07,0.13,0,0,0.35
upper ferntree gully,0.25,129.08,451.74,154.19,118.41,26.58,880,390,290,5080,0.15,0.46,0,0.03,0.06,0,0.31,0.29,0.01,0.16,0.08,0.02,0.03,0.41
upwey,0.15,74.65,246.95,114.62,98.22,15.55,550,230,140,3120,0.17,0.29,0,0,0.01,0,0.53,0.19,0,0.19,0.04,0,0.19,0.39
victoria park,0.59,48.16,500.14,381.57,891.65,198.48,2020,1050,740,11890,0.01,0.03,0,0,0.04,0,0.92,0.18,0.01,0.05,0.09,0.01,0.06,0.6
watergardens,1.35,653.63,2802.05,992.81,511.99,119.53,5080,1790,1250,28440,0.2,0.52,0,0,0.05,0,0.23,0.24,0.01,0.03,0.09,0.01,0.08,0.54
watsonia,0.67,407.37,1409.8,300.85,230.73,41.24,2390,1010,650,13610,0.04,0.59,0,0,0,0,0.37,0.17,0,0.05,0.1,0,0.07,0.61
wattle glen,0.05,29.03,118.38,20,10.08,2.51,180,60,40,1000,0,0.41,0,0.08,0.01,0,0.51,0.42,0,0.13,0.04,0,0.01,0.41
werribee,1.36,906.08,2346.02,949.82,595.04,113.03,4910,1870,1270,27690,0.2,0.52,0,0,0.02,0,0.27,0.26,0.02,0.08,0.06,0.01,0.03,0.55
west footscray,0.45,121.43,987.56,336.2,225.74,59.07,1730,690,470,9810,0.01,0.3,0.01,0,0,0,0.68,0.13,0,0.12,0.04,0,0.04,0.67
west richmond,0.4,39.8,362.73,313.6,503.75,140.12,1360,750,490,8040,0,0.02,0,0,0,0,0.98,0.06,0,0.25,0.15,0,0.12,0.42
westall,0.59,181.14,803.52,445.81,461.18,88.35,1980,1310,870,12080,0,0.37,0,0,0.03,0,0.61,0.26,0.01,0.03,0.05,0,0.06,0.59
westgarth,0.3,53.64,552.1,185.9,163.38,54.99,1010,560,370,5980,0.1,0.11,0,0,0,0.01,0.78,0.2,0.01,0.22,0.04,0,0.06,0.47
westona,0.23,96.29,378.11,144.81,185.65,25.14,830,330,240,4720,0.03,0.27,0.11,0,0.01,0,0.58,0.11,0,0.17,0.2,0,0.02,0.49
williams landing,0.81,388.5,1739.39,523.75,256.07,52.29,2960,1050,700,16550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williamstown,0.16,25.57,190.19,134.15,137.77,32.32,520,340,290,3230,0,0.08,0.02,0,0.01,0,0.89,0.08,0,0.03,0.19,0.03,0.01,0.66
williamstown beach,0.16,38.29,261.02,136.99,112.3,21.39,570,270,200,3320,0,0.07,0,0,0,0,0.92,0.25,0,0.07,0.09,0,0.15,0.44
willison,0.09,26.93,211.22,54.61,31.79,5.45,330,100,60,1810,0,0.12,0,0,0.01,0,0.87,0.15,0.02,0.1,0.03,0.02,0,0.67
windsor,1.05,140.97,1521.38,682.51,1027.47,317.68,3690,1920,1220,21590,0.01,0.02,0.02,0,0.03,0.16,0.77,0.05,0,0.13,0.07,0,0.04,0.72
yarraman,0.28,102.01,450.98,263.09,162.43,31.48,1010,410,310,5770,0.02,0.46,0.02,0.01,0.03,0,0.46,0.37,0.01,0.07,0.09,0,0.01,0.45
yarraville,0.91,186.24,1565.87,684.52,444.01,169.36,3050,1690,1150,18090,0.1,0.18,0.02,0,0,0,0.7,0.16,0.01,0.03,0.15,0.01,0.05,0.61
